Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
7790.76	3.35891	3.08753	3.23298	3.19445	3.20564	0.324866	1.57575	-4.69266	4.05683	3.0942	0.227243	-28.0384	0	289.955	280.955	0.000162173	4.49632	2.49177e-05	1.53179e-05	4.77418	5.03093e-06	1.56221e-05	-0.0553492	0.0625664	8.81509	
8041.79	3.359	3.08752	3.23297	3.19444	3.20563	0.324864	1.57574	-4.69258	4.05688	3.09427	0.227241	-28.0384	0	289.955	280.955	0.000162172	4.49603	2.49236e-05	1.53116e-05	4.77438	5.03088e-06	1.56219e-05	-0.0553529	0.0625634	8.81507	
8292.48	3.35911	3.08751	3.23296	3.19442	3.20561	0.324861	1.57573	-4.6925	4.05694	3.09433	0.227239	-28.0385	0	289.955	280.955	0.000162171	4.49572	2.49293e-05	1.53057e-05	4.77459	5.03082e-06	1.56216e-05	-0.0553572	0.0625603	8.81504	
8543.11	3.35924	3.0875	3.23295	3.1944	3.20559	0.324859	1.57572	-4.69242	4.057	3.09439	0.227236	-28.0385	0	289.956	280.956	0.00016217	4.49537	2.49348e-05	1.53e-05	4.7748	5.03076e-06	1.56214e-05	-0.0553619	0.0625568	8.81501	
8794.58	3.35937	3.08749	3.23293	3.19439	3.20557	0.324857	1.57571	-4.69233	4.05706	3.09445	0.227234	-28.0386	0	289.956	280.956	0.000162169	4.495	2.494e-05	1.52945e-05	4.775	5.03069e-06	1.56211e-05	-0.0553671	0.0625531	8.81498	
9048.61	3.35952	3.08748	3.23292	3.19437	3.20555	0.324855	1.5757	-4.69224	4.05711	3.09451	0.227231	-28.0387	0	289.956	280.956	0.000162168	4.49461	2.49451e-05	1.52891e-05	4.77522	5.03061e-06	1.56208e-05	-0.0553728	0.0625492	8.81494	
9299.64	3.35968	3.08747	3.23291	3.19435	3.20552	0.324853	1.57569	-4.69215	4.05717	3.09457	0.227228	-28.0388	0	289.956	280.956	0.000162167	4.4942	2.495e-05	1.5284e-05	4.77543	5.03053e-06	1.56205e-05	-0.0553788	0.0625451	8.81491	
9550.33	3.35984	3.08745	3.23289	3.19432	3.2055	0.324851	1.57568	-4.69206	4.05722	3.09463	0.227224	-28.0389	0	289.957	280.957	0.000162166	4.49377	2.49547e-05	1.52791e-05	4.77564	5.03045e-06	1.56202e-05	-0.0553851	0.0625408	8.81487	
9800.96	3.36002	3.08744	3.23287	3.1943	3.20547	0.324849	1.57567	-4.69197	4.05728	3.09469	0.227221	-28.039	0	289.957	280.957	0.000162165	4.49332	2.49592e-05	1.52743e-05	4.77585	5.03036e-06	1.56198e-05	-0.0553918	0.0625363	8.81482	
10052.4	3.3602	3.08742	3.23286	3.19428	3.20544	0.324847	1.57566	-4.69187	4.05733	3.09475	0.227217	-28.0391	0	289.958	280.958	0.000162164	4.49285	2.49635e-05	1.52697e-05	4.77606	5.03027e-06	1.56195e-05	-0.0553989	0.0625316	8.81478	
10306.5	3.3604	3.08741	3.23284	3.19425	3.20541	0.324845	1.57565	-4.69178	4.05739	3.0948	0.227214	-28.0392	0	289.958	280.958	0.000162163	4.49236	2.49678e-05	1.52652e-05	4.77627	5.03018e-06	1.56191e-05	-0.0554063	0.0625267	8.81473	
10557.5	3.3606	3.08739	3.23282	3.19423	3.20538	0.324843	1.57564	-4.69168	4.05744	3.09486	0.22721	-28.0394	0	289.958	280.958	0.000162162	4.49187	2.49719e-05	1.52608e-05	4.77648	5.03008e-06	1.56188e-05	-0.0554139	0.0625217	8.81468	
