Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp
7529.76	3.35674	3.08722	3.23268	3.19414	3.20537	0.324852	1.57569	-4.69227	4.0588	3.09611	0.227377	-28.0354	0	289.94	280.94	0.000162166	4.49613	2.49039e-05	1.533e-05	4.77605	5.03385e-06	1.56308e-05	-0.0553554	0.0625644	8.81674	0.014427	0.0143808	
7780.8	3.35684	3.08721	3.23267	3.19413	3.20535	0.32485	1.57568	-4.69218	4.05886	3.09618	0.227375	-28.0355	0	289.94	280.94	0.000162165	4.49583	2.49098e-05	1.53238e-05	4.77626	5.03378e-06	1.56305e-05	-0.0553594	0.0625614	8.81671	0.014427	0.0143808	
8031.48	3.35697	3.0872	3.23265	3.19411	3.20533	0.324847	1.57566	-4.6921	4.05892	3.09624	0.227372	-28.0355	0	289.941	280.941	0.000162164	4.49551	2.49155e-05	1.53177e-05	4.77648	5.0337e-06	1.56301e-05	-0.0553638	0.0625582	8.81668	0.014427	0.0143808	
8282.11	3.3571	3.08719	3.23264	3.19409	3.20531	0.324845	1.57565	-4.692	4.05897	3.09631	0.227369	-28.0356	0	289.941	280.941	0.000162162	4.49516	2.4921e-05	1.53119e-05	4.77669	5.03362e-06	1.56298e-05	-0.0553688	0.0625547	8.81664	0.014427	0.0143808	
8533.58	3.35725	3.08718	3.23263	3.19407	3.20529	0.324842	1.57564	-4.69191	4.05903	3.09637	0.227365	-28.0357	0	289.942	280.942	0.000162161	4.49479	2.49262e-05	1.53064e-05	4.77691	5.03353e-06	1.56294e-05	-0.0553742	0.062551	8.81659	0.014427	0.0143808	
8787.61	3.35741	3.08716	3.23261	3.19405	3.20526	0.32484	1.57562	-4.69181	4.05908	3.09644	0.227361	-28.0358	0	289.942	280.942	0.00016216	4.49439	2.49314e-05	1.53009e-05	4.77713	5.03343e-06	1.5629e-05	-0.05538	0.062547	8.81655	0.014427	0.0143808	
9038.64	3.35759	3.08715	3.2326	3.19403	3.20524	0.324837	1.57561	-4.69171	4.05914	3.0965	0.227357	-28.0359	0	289.942	280.942	0.000162159	4.49398	2.49363e-05	1.52957e-05	4.77735	5.03333e-06	1.56286e-05	-0.0553862	0.0625429	8.8165	0.014427	0.0143808	
9289.33	3.35777	3.08713	3.23258	3.19401	3.20521	0.324835	1.5756	-4.69161	4.05919	3.09656	0.227353	-28.036	0	289.943	280.943	0.000162157	4.49355	2.4941e-05	1.52907e-05	4.77757	5.03322e-06	1.56282e-05	-0.0553928	0.0625385	8.81644	0.014427	0.0143808	
9539.96	3.35796	3.08712	3.23256	3.19398	3.20518	0.324832	1.57559	-4.69151	4.05924	3.09662	0.227348	-28.0361	0	289.943	280.943	0.000162156	4.49309	2.49456e-05	1.52858e-05	4.77778	5.03311e-06	1.56278e-05	-0.0553997	0.062534	8.81639	0.014427	0.0143808	
9791.43	3.35816	3.0871	3.23255	3.19396	3.20516	0.32483	1.57558	-4.6914	4.0593	3.09667	0.227344	-28.0362	0	289.944	280.944	0.000162155	4.49262	2.495e-05	1.52811e-05	4.778	5.03299e-06	1.56273e-05	-0.0554069	0.0625293	8.81633	0.014427	0.0143808	
10045.5	3.35837	3.08709	3.23253	3.19393	3.20512	0.324827	1.57556	-4.69129	4.05935	3.09673	0.227339	-28.0364	0	289.944	280.944	0.000162154	4.49213	2.49544e-05	1.52764e-05	4.77822	5.03286e-06	1.56269e-05	-0.0554145	0.0625244	8.81627	0.014427	0.0143808	
