Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
7780.14	3.35826	3.08732	3.23277	3.19424	3.20545	0.324861	1.57573	-4.69167	4.05796	3.09529	0.227256	-28.0366	0	289.953	280.953	0.000162171	4.49629	2.49155e-05	1.53194e-05	4.77527	5.0312e-06	1.56228e-05	-0.0553487	0.062566	8.81525	
8030.82	3.35836	3.08731	3.23276	3.19423	3.20543	0.324859	1.57572	-4.6916	4.05801	3.09535	0.227254	-28.0367	0	289.954	280.954	0.00016217	4.49598	2.49214e-05	1.53134e-05	4.77547	5.03114e-06	1.56226e-05	-0.0553527	0.062563	8.81523	
8281.45	3.35848	3.0873	3.23275	3.19421	3.20541	0.324857	1.57571	-4.69151	4.05807	3.09541	0.227251	-28.0367	0	289.954	280.954	0.000162169	4.49565	2.49269e-05	1.53075e-05	4.77568	5.03108e-06	1.56223e-05	-0.0553572	0.0625596	8.8152	
8532.92	3.35861	3.08729	3.23273	3.19419	3.20539	0.324855	1.5757	-4.69143	4.05813	3.09547	0.227249	-28.0368	0	289.954	280.954	0.000162167	4.4953	2.49323e-05	1.53019e-05	4.77589	5.03101e-06	1.5622e-05	-0.0553622	0.0625561	8.81516	
8786.96	3.35875	3.08728	3.23272	3.19418	3.20537	0.324853	1.57568	-4.69134	4.05818	3.09553	0.227246	-28.0369	0	289.955	280.955	0.000162166	4.49491	2.49375e-05	1.52965e-05	4.77611	5.03093e-06	1.56217e-05	-0.0553677	0.0625522	8.81513	
9037.99	3.35891	3.08726	3.23271	3.19416	3.20534	0.32485	1.57567	-4.69125	4.05824	3.09559	0.227243	-28.037	0	289.955	280.955	0.000162165	4.49451	2.49424e-05	1.52913e-05	4.77632	5.03086e-06	1.56214e-05	-0.0553736	0.0625482	8.81509	
9288.67	3.35907	3.08725	3.23269	3.19413	3.20532	0.324848	1.57566	-4.69116	4.05829	3.09565	0.22724	-28.0371	0	289.955	280.955	0.000162164	4.49409	2.49472e-05	1.52862e-05	4.77653	5.03078e-06	1.56211e-05	-0.0553798	0.062544	8.81505	
9539.3	3.35924	3.08724	3.23268	3.19411	3.20529	0.324846	1.57565	-4.69107	4.05834	3.09571	0.227236	-28.0372	0	289.956	280.956	0.000162163	4.49365	2.49518e-05	1.52814e-05	4.77674	5.03069e-06	1.56207e-05	-0.0553863	0.0625396	8.81501	
9790.77	3.35942	3.08722	3.23266	3.19409	3.20527	0.324844	1.57564	-4.69098	4.0584	3.09577	0.227233	-28.0373	0	289.956	280.956	0.000162162	4.49319	2.49562e-05	1.52767e-05	4.77696	5.0306e-06	1.56204e-05	-0.0553932	0.062535	8.81497	
10044.8	3.35961	3.08721	3.23264	3.19406	3.20524	0.324842	1.57563	-4.69089	4.05845	3.09582	0.227229	-28.0374	0	289.956	280.956	0.000162161	4.49271	2.49606e-05	1.5272e-05	4.77717	5.03051e-06	1.562e-05	-0.0554005	0.0625302	8.81492	
10295.8	3.35981	3.08719	3.23262	3.19404	3.20521	0.32484	1.57562	-4.69079	4.0585	3.09588	0.227225	-28.0376	0	289.957	280.957	0.00016216	4.49222	2.49648e-05	1.52676e-05	4.77739	5.03041e-06	1.56197e-05	-0.055408	0.0625253	8.81487	
10546.5	3.36001	3.08717	3.23261	3.19401	3.20518	0.324838	1.57561	-4.6907	4.05855	3.09593	0.227221	-28.0377	0	289.957	280.957	0.000162159	4.49171	2.49688e-05	1.52633e-05	4.7776	5.03031e-06	1.56193e-05	-0.0554158	0.0625202	8.81482	
10797.1	3.36022	3.08716	3.23259	3.19398	3.20515	0.324836	1.5756	-4.6906	4.0586	3.09598	0.227217	-28.0379	0	289.958	280.958	0.000162158	4.4912	2.49728e-05	1.52591e-05	4.77781	5.03021e-06	1.56189e-05	-0.0554237	0.062515	8.81477	
11048.6	3.36044	3.08714	3.23257	3.19396	3.20511	0.324834	1.57559	-4.6905	4.05866	3.09604	0.227213	-28.038	0	289.958	280.958	0.000162157	4.49066	2.49766e-05	1.52551e-05	4.77803	5.0301e-06	1.56185e-05	-0.055432	0.0625097	8.81472	
11302.7	3.36066	3.08712	3.23254	3.19393	3.20508	0.324833	1.57558	-4.6904	4.05871	3.09609	0.227208	-28.0382	0	289.959	280.959	0.000162156	4.49012	2.49804e-05	1.5251e-05	4.77824	5.03e-06	1.56181e-05	-0.0554405	0.0625042	8.81467	
11553.7	3.36089	3.0871	3.23252	3.1939	3.20505	0.324831	1.57557	-4.6903	4.05875	3.09614	0.227204	-28.0384	0	289.959	280.959	0.000162155	4.48956	2.4984e-05	1.52472e-05	4.77846	5.02989e-06	1.56177e-05	-0.0554492	0.0624987	8.81461	
11804.4	3.36112	3.08708	3.2325	3.19387	3.20501	0.324829	1.57556	-4.6902	4.0588	3.09619	0.227199	-28.0385	0	289.96	280.96	0.000162155	4.489	2.49875e-05	1.52434e-05	4.77867	5.02978e-06	1.56173e-05	-0.055458	0.0624931	8.81456	
12055	3.36136	3.08706	3.23248	3.19384	3.20498	0.324827	1.57556	-4.6901	4.05885	3.09624	0.227195	-28.0387	0	289.96	280.96	0.000162154	4.48843	2.4991e-05	1.52398e-05	4.77888	5.02967e-06	1.56169e-05	-0.055467	0.0624873	8.8145	
12306.5	3.3616	3.08704	3.23246	3.19381	3.20494	0.324825	1.57555	-4.69	4.0589	3.09629	0.22719	-28.0389	0	289.961	280.961	0.000162153	4.48784	2.49943e-05	1.52362e-05	4.77909	5.02955e-06	1.56165e-05	-0.0554762	0.0624815	8.81444	
12560.5	3.36185	3.08702	3.23244	3.19377	3.20491	0.324824	1.57554	-4.6899	4.05895	3.09634	0.227185	-28.0391	0	289.961	280.961	0.000162152	4.48725	2.49976e-05	1.52327e-05	4.7793	5.02943e-06	1.56161e-05	-0.0554856	0.0624755	8.81438	
12811.5	3.3621	3.087	3.23241	3.19374	3.20487	0.324822	1.57553	-4.6898	4.05899	3.09639	0.22718	-28.0393	0	289.962	280.962	0.000162151	4.48665	2.50008e-05	1.52293e-05	4.77951	5.02932e-06	1.56157e-05	-0.055495	0.0624696	8.81432	
13062.2	3.36235	3.08698	3.23239	3.19371	3.20483	0.32482	1.57552	-4.6897	4.05904	3.09643	0.227175	-28.0395	0	289.962	280.962	0.00016215	4.48605	2.50039e-05	1.52261e-05	4.77972	5.0292e-06	1.56153e-05	-0.0555046	0.0624635	8.81426	
13312.8	3.3626	3.08696	3.23237	3.19368	3.2048	0.324819	1.57551	-4.6896	4.05908	3.09648	0.22717	-28.0397	0	289.963	280.963	0.000162149	4.48544	2.50068e-05	1.52229e-05	4.77993	5.02908e-06	1.56148e-05	-0.0555142	0.0624575	8.8142	
13564.3	3.36286	3.08694	3.23234	3.19364	3.20476	0.324817	1.5755	-4.68949	4.05913	3.09652	0.227165	-28.0399	0	289.963	280.963	0.000162149	4.48482	2.50097e-05	1.52198e-05	4.78014	5.02896e-06	1.56144e-05	-0.055524	0.0624513	8.81414	
