Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp	Eros
170045	4.18745	3.45327	3.61237	3.56297	3.56863	0.362151	1.75709	-5.94198	2.60907	1.63791	0.210443	-30.1795	0	291.854	282.854	0.000180786	4.77423	3.14058e-05	1.34475e-05	3.19568	4.83066e-06	1.61242e-05	-0.0452724	0.0654111	8.60224	0.014427	0.0143839	4.31156e-05	
170297	4.18704	3.45314	3.61226	3.56285	3.56852	0.362171	1.75719	-5.94016	2.61098	1.63976	0.21045	-30.1772	0	291.853	282.853	0.000180796	4.77394	3.14027e-05	1.34532e-05	3.19759	4.83092e-06	1.61257e-05	-0.0452725	0.0654081	8.60233	0.014427	0.0143839	4.31169e-05	
170549	4.18663	3.45302	3.61215	3.56273	3.56841	0.362192	1.75729	-5.93834	2.61289	1.6416	0.210457	-30.175	0	291.853	282.853	0.000180806	4.77366	3.13996e-05	1.34589e-05	3.19951	4.83118e-06	1.61272e-05	-0.0452728	0.0654051	8.60243	0.014427	0.0143839	4.31182e-05	
170801	4.18622	3.4529	3.61205	3.56261	3.5683	0.362213	1.75739	-5.93652	2.61479	1.64343	0.210464	-30.1728	0	291.852	282.852	0.000180817	4.77337	3.13965e-05	1.34645e-05	3.20142	4.83145e-06	1.61286e-05	-0.0452729	0.0654021	8.60252	0.014427	0.0143839	4.31195e-05	
171053	4.18581	3.45278	3.61194	3.56249	3.56819	0.362233	1.75749	-5.93471	2.6167	1.64527	0.210472	-30.1706	0	291.851	282.851	0.000180827	4.77309	3.13934e-05	1.34702e-05	3.20333	4.83171e-06	1.61301e-05	-0.0452728	0.0653992	8.60262	0.014427	0.0143839	4.31208e-05	
171305	4.18539	3.45265	3.61183	3.56237	3.56808	0.362254	1.75759	-5.9329	2.61859	1.6471	0.210479	-30.1683	0	291.85	282.85	0.000180837	4.7728	3.13903e-05	1.34758e-05	3.20524	4.83197e-06	1.61316e-05	-0.0452734	0.0653962	8.60271	0.014427	0.0143839	4.31222e-05	
171557	4.18498	3.45253	3.61172	3.56226	3.56797	0.362274	1.75769	-5.93109	2.62049	1.64893	0.210486	-30.1661	0	291.849	282.849	0.000180847	4.77252	3.13873e-05	1.34814e-05	3.20714	4.83223e-06	1.6133e-05	-0.0452733	0.0653933	8.60281	0.014427	0.0143839	4.31235e-05	
171809	4.18457	3.45241	3.61161	3.56214	3.56786	0.362294	1.75779	-5.92928	2.62239	1.65075	0.210493	-30.1639	0	291.848	282.848	0.000180857	4.77224	3.13842e-05	1.3487e-05	3.20905	4.83249e-06	1.61345e-05	-0.0452737	0.0653903	8.6029	0.014427	0.0143839	4.31248e-05	
172061	4.18416	3.45229	3.6115	3.56202	3.56776	0.362314	1.75789	-5.92748	2.62428	1.65258	0.210501	-30.1617	0	291.847	282.847	0.000180867	4.77196	3.13811e-05	1.34925e-05	3.21094	4.83275e-06	1.61359e-05	-0.0452738	0.0653874	8.603	0.014427	0.0143839	4.31261e-05	
172313	4.18375	3.45216	3.61139	3.5619	3.56765	0.362334	1.75799	-5.92568	2.62617	1.6544	0.210508	-30.1595	0	291.847	282.847	0.000180877	4.77168	3.13781e-05	1.34981e-05	3.21284	4.83301e-06	1.61374e-05	-0.0452742	0.0653844	8.60309	0.014427	0.0143838	4.31274e-05	
172565	4.18334	3.45204	3.61128	3.56178	3.56754	0.362354	1.75809	-5.92388	2.62805	1.65622	0.210515	-30.1573	0	291.846	282.846	0.000180887	4.7714	3.1375e-05	1.35036e-05	3.21473	4.83327e-06	1.61388e-05	-0.0452743	0.0653815	8.60319	0.014427	0.0143838	4.31287e-05	
172818	4.18293	3.45192	3.61118	3.56166	3.56743	0.362374	1.75819	-5.92209	2.62994	1.65803	0.210522	-30.1551	0	291.845	282.845	0.000180897	4.77112	3.13719e-05	1.35091e-05	3.21662	4.83353e-06	1.61403e-05	-0.0452742	0.0653786	8.60328	0.014427	0.0143838	4.313e-05	
173070	4.18252	3.4518	3.61107	3.56154	3.56732	0.362394	1.75829	-5.9203	2.63182	1.65985	0.210529	-30.1529	0	291.844	282.844	0.000180907	4.77084	3.13689e-05	1.35146e-05	3.21851	4.83379e-06	1.61417e-05	-0.0452748	0.0653757	8.60338	0.014427	0.0143838	4.31313e-05	
173322	4.18211	3.45167	3.61096	3.56142	3.56721	0.362414	1.75838	-5.91851	2.6337	1.66166	0.210537	-30.1507	0	291.843	282.843	0.000180917	4.77056	3.13659e-05	1.35201e-05	3.2204	4.83404e-06	1.61431e-05	-0.0452747	0.0653727	8.60347	0.014427	0.0143838	4.31326e-05	
173574	4.1817	3.45155	3.61085	3.5613	3.5671	0.362434	1.75848	-5.91672	2.63557	1.66347	0.210544	-30.1485	0	291.842	282.842	0.000180927	4.77028	3.13628e-05	1.35256e-05	3.22228	4.8343e-06	1.61446e-05	-0.0452752	0.0653698	8.60357	0.014427	0.0143838	4.31339e-05	
